"gene_id","lr","df","pvalue","adj_pvalue"
"FBgn0026084",0.00624455814249814,1,0.937014713343682,0.999210074482202
"FBgn0026085",0.636594746247283,1,0.424946585546282,0.898052224025078
"FBgn0026083",1.03472587503711,2,0.596090404797219,0.966046702861204
"FBgn0262738",3.8457653306582,2,0.146184951873015,0.663146038556959
"FBgn0002707",0.956328923276033,1,0.328113539281869,0.841460795213472
"FBgn0040906",1.9468878609365,1,0.162922608444002,0.686690853375437
"FBgn0000635",3.61257686034514,1,0.0573442018554105,0.399885774774324
"FBgn0029709",0.0101754932547919,1,0.919650760682553,0.999210074482202
"FBgn0022942",0.0873524759954307,1,0.767570308188316,0.999210074482202
"FBgn0025615",1.2874004587793,1,0.256527566208091,0.786815629225589
"FBgn0029715",2.47476665640716,1,0.115686610921677,0.592175967607946
"FBgn0029711",2.29237589023114,1,0.130010772736803,0.621425663727068
"FBgn0004368",0.235714082529739,2,0.888823108559877,0.999210074482202
"FBgn0014024",2.95794842553005,1,0.0854563069545604,0.496327672841498
"FBgn0029763",1.30949291328579,1,0.252486486686198,0.785233158810147
"FBgn0029766",3.23593749070824,1,0.0720390618143404,0.456107669717779
"FBgn0263987",0.0572565789334476,1,0.810885782320586,0.999210074482202
"FBgn0028474",0.107845583457674,1,0.742610367026466,0.999210074482202
"FBgn0029785",4.52172752283514,1,0.0334670225708112,0.307179937531064
"FBgn0000394",3.22979772083272,1,0.0723096197295346,0.456107669717779
"FBgn0029798",1.83339346569892,1,0.175727251550921,0.706580188339147
"FBgn0029801",1.9568474177122,2,0.375903164924389,0.874135089148274
"FBgn0000042",3.05273180315271,1,0.080601462633225,0.481091363966972
"FBgn0029822",0.0294935231013369,1,0.86364446568883,0.999210074482202
"FBgn0029823",0.568581609884859,1,0.45082309792581,0.910795160050254
"FBgn0029819",0.00309380340786447,1,0.955642963061614,0.999210074482202
"FBgn0013987",0.00168459146516398,1,0.967260997852893,0.999210074482202
"FBgn0261383",0.157061481546407,2,0.924473640460223,0.999210074482202
"FBgn0052758",4.61723804103349,2,0.0993984240058986,0.539404605460581
"FBgn0046687",1.01067616568434,1,0.314740905134085,0.83439576962544
"FBgn0029783",0.232140147689279,1,0.629941461939099,0.978473271232946
"FBgn0029824",1.26811170487855,1,0.260121221877431,0.790808384393339
"FBgn0029825",7.32828071457243,1,0.00678779515463104,0.102598767599057
"FBgn0052756",0.0834150168993801,1,0.772721743527715,0.999210074482202
"FBgn0029830",4.57124631912802,1,0.0325129033077874,0.301815922345924
"FBgn0029833",0.834650818746013,1,0.360931134588557,0.867028355164072
