"gene_id","feature_id","lr","df","pvalue","adj_pvalue"
"FBgn0032801","FBtr0303780",4.10742049436658,1,0.0426954351343351,0.401246559087069
"FBgn0032796","FBtr0081282",0.0100474064465743,1,0.920156369073162,1
"FBgn0032796","FBtr0081283",0.203986102574163,1,0.651522435858413,1
"FBgn0032796","FBtr0329963",0.0775385536426256,1,0.780661220797514,1
"FBgn0032793","FBtr0081284",0.520547850554976,1,0.470608078076346,0.959015251390862
"FBgn0032793","FBtr0331327",0.520547850554067,1,0.470608078076733,0.959015251390862
"FBgn0032816","FBtr0081289",0.0366916551392933,1,0.84809419473069,1
"FBgn0032816","FBtr0343854",0.0366916551429313,1,0.848094194723251,1
"FBgn0032833","FBtr0081300",2.81948252982693,1,0.0931264220854605,0.596771125352594
"FBgn0032833","FBtr0332242",2.81948252982693,1,0.0931264220854605,0.596771125352594
"FBgn0004811","FBtr0081316",0.477861044069869,1,0.489392776492302,0.968290349493436
"FBgn0004811","FBtr0081317",0.477861044069869,1,0.489392776492302,0.968290349493436
"FBgn0032821","FBtr0081318",0.0299301696522889,1,0.862648770464652,1
"FBgn0032821","FBtr0300966",1.5417509555009,1,0.214357367015047,0.812852167538205
"FBgn0032821","FBtr0332179",1.97396038380793,1,0.160028116311324,0.743644015678294
"FBgn0032815","FBtr0081325",0.0752923703330453,1,0.783781429048333,1
"FBgn0032815","FBtr0305952",0.0752923703330453,1,0.783781429048333,1
"FBgn0019686","FBtr0081328",0.0708058667878504,1,0.79016703291789,1
"FBgn0019686","FBtr0081329",0.36130064748977,1,0.547784775074648,0.98368385971179
"FBgn0019686","FBtr0081330",0.29995949385011,1,0.583907815599201,0.995643720523006
"FBgn0045064","FBtr0081331",0.505669616803516,1,0.477019478637498,0.963313919769751
"FBgn0045064","FBtr0331184",0.505669616803516,1,0.477019478637498,0.963313919769751
"FBgn0032848","FBtr0081334",0.00692033747691312,1,0.933701604409337,1
"FBgn0032848","FBtr0081335",0.00692033747327514,1,0.933701604426723,1
"FBgn0032845","FBtr0081341",5.72811226492922,1,0.0166954200814905,0.23136554372189
"FBgn0032845","FBtr0331618",5.72811226493013,1,0.0166954200814818,0.23136554372189
"FBgn0014127","FBtr0081348",1.17045880992737,1,0.279306987486458,0.8519622104716
"FBgn0014127","FBtr0343850",1.17045880993464,1,0.279306987484963,0.8519622104716
"FBgn0003475","FBtr0081353",NA,1,NA,NA
"FBgn0003475","FBtr0301884",2.58249479981396,1,0.108051242177176,0.643435115882652
"FBgn0003475","FBtr0339234",9.24039154262618,1,0.00236734328574312,0.071820076709369
